id,tema,texto
1,laboral,El Ministerio de Trabajo regula las condiciones laborales.
2,familia,La adopción requiere sentencia judicial.
3,familia,El matrimonio produce efectos jurídicos reconocidos por la ley.
4,penal,La violencia intrafamiliar constituye delito según la ley.
5,constitucional,El derecho a la salud es fundamental según jurisprudencia.
6,constitucional,La acción de tutela protege derechos fundamentales.
7,familia,La adopción requiere sentencia judicial.
8,laboral,El Ministerio de Trabajo regula las condiciones laborales.
9,familia,La violencia intrafamiliar puede dar lugar a medidas de protección.
10,familia,La adopción requiere sentencia judicial.
11,familia,La custodia compartida busca proteger el interés superior del menor.
12,laboral,El Ministerio de Trabajo regula las condiciones laborales.
13,familia,El matrimonio produce efectos jurídicos reconocidos por la ley.
14,penal,El juez dictó sentencia en caso de fraude procesal.
15,civil,La responsabilidad civil extracontractual se aplica en daños.
16,constitucional,La Corte Constitucional declaró exequible la Ley 906 de 2004.
17,civil,La sucesión intestada se rige por normas específicas.
18,familia,La violencia intrafamiliar puede dar lugar a medidas de protección.
19,laboral,El trabajador tiene derecho a vacaciones remuneradas.
20,familia,La adopción requiere sentencia judicial.
21,civil,El contrato de compraventa debe cumplir requisitos legales.
22,laboral,El contrato laboral debe incluir salario y prestaciones.
23,laboral,El contrato laboral debe incluir salario y prestaciones.
24,familia,La custodia compartida busca proteger el interés superior del menor.
25,civil,El contrato de compraventa debe cumplir requisitos legales.
26,civil,La responsabilidad civil extracontractual se aplica en daños.
27,penal,El delito de hurto agravado se sanciona con prisión.
28,penal,El homicidio culposo tiene sanciones específicas.
29,penal,El juez dictó sentencia en caso de fraude procesal.
30,constitucional,El derecho a la salud es fundamental según jurisprudencia.
31,penal,El juez dictó sentencia en caso de fraude procesal.
32,penal,La violencia intrafamiliar constituye delito según la ley.
33,constitucional,La Constitución garantiza el derecho a la igualdad.
34,penal,La violencia intrafamiliar constituye delito según la ley.
35,civil,La responsabilidad civil extracontractual se aplica en daños.
36,civil,El Código Civil regula las obligaciones y contratos.
37,familia,La violencia intrafamiliar puede dar lugar a medidas de protección.
38,laboral,El trabajador tiene derecho a vacaciones remuneradas.
39,civil,La responsabilidad civil extracontractual se aplica en daños.
40,civil,La sucesión intestada se rige por normas específicas.
41,penal,El delito de hurto agravado se sanciona con prisión.
42,penal,El juez dictó sentencia en caso de fraude procesal.
43,laboral,El Ministerio de Trabajo regula las condiciones laborales.
44,laboral,La Ley 1010 de 2006 protege contra el acoso laboral.
45,penal,El homicidio culposo tiene sanciones específicas.
46,constitucional,La Constitución garantiza el derecho a la igualdad.
47,civil,El contrato de compraventa debe cumplir requisitos legales.
48,constitucional,La Constitución garantiza el derecho a la igualdad.
49,familia,La custodia compartida busca proteger el interés superior del menor.
50,laboral,El Ministerio de Trabajo regula las condiciones laborales.
51,constitucional,La Corte Constitucional declaró exequible la Ley 906 de 2004.
52,penal,El juez dictó sentencia en caso de fraude procesal.
53,laboral,El trabajador tiene derecho a vacaciones remuneradas.
54,familia,La violencia intrafamiliar puede dar lugar a medidas de protección.
55,familia,La custodia compartida busca proteger el interés superior del menor.
56,constitucional,La Corte Constitucional declaró exequible la Ley 906 de 2004.
57,civil,El Código Civil regula las obligaciones y contratos.
58,laboral,El trabajador tiene derecho a vacaciones remuneradas.
59,familia,La custodia compartida busca proteger el interés superior del menor.
60,laboral,La Ley 1010 de 2006 protege contra el acoso laboral.
61,constitucional,La acción de tutela protege derechos fundamentales.
62,penal,El juez dictó sentencia en caso de fraude procesal.
63,familia,La violencia intrafamiliar puede dar lugar a medidas de protección.
64,familia,La adopción requiere sentencia judicial.
65,constitucional,El derecho a la salud es fundamental según jurisprudencia.
66,civil,El Código Civil regula las obligaciones y contratos.
67,constitucional,La Corte Constitucional declaró exequible la Ley 906 de 2004.
68,familia,La violencia intrafamiliar puede dar lugar a medidas de protección.
69,laboral,El trabajador tiene derecho a vacaciones remuneradas.
70,constitucional,La Constitución garantiza el derecho a la igualdad.
71,penal,El homicidio culposo tiene sanciones específicas.
72,civil,El Código Civil regula las obligaciones y contratos.
73,familia,La adopción requiere sentencia judicial.
74,penal,El juez dictó sentencia en caso de fraude procesal.
75,constitucional,La Constitución garantiza el derecho a la igualdad.
76,penal,El juez dictó sentencia en caso de fraude procesal.
77,penal,El juez dictó sentencia en caso de fraude procesal.
78,laboral,La Ley 1010 de 2006 protege contra el acoso laboral.
79,familia,La violencia intrafamiliar puede dar lugar a medidas de protección.
80,penal,La violencia intrafamiliar constituye delito según la ley.
81,civil,La responsabilidad civil extracontractual se aplica en daños.
82,familia,La violencia intrafamiliar puede dar lugar a medidas de protección.
83,constitucional,El derecho a la salud es fundamental según jurisprudencia.
84,familia,La violencia intrafamiliar puede dar lugar a medidas de protección.
85,familia,El matrimonio produce efectos jurídicos reconocidos por la ley.
86,familia,La violencia intrafamiliar puede dar lugar a medidas de protección.
87,civil,El contrato de compraventa debe cumplir requisitos legales.
88,constitucional,La acción de tutela protege derechos fundamentales.
89,laboral,La Ley 1010 de 2006 protege contra el acoso laboral.
90,civil,La sucesión intestada se rige por normas específicas.
91,laboral,El trabajador tiene derecho a vacaciones remuneradas.
92,penal,La violencia intrafamiliar constituye delito según la ley.
93,civil,La sucesión intestada se rige por normas específicas.
94,laboral,La Ley 1010 de 2006 protege contra el acoso laboral.
95,constitucional,La Constitución garantiza el derecho a la igualdad.
96,constitucional,La Constitución garantiza el derecho a la igualdad.
97,familia,La adopción requiere sentencia judicial.
98,laboral,El Ministerio de Trabajo regula las condiciones laborales.
99,constitucional,La acción de tutela protege derechos fundamentales.
100,constitucional,La Constitución garantiza el derecho a la igualdad.
101,constitucional,La Corte Constitucional declaró exequible la Ley 906 de 2004.
102,civil,El contrato de compraventa debe cumplir requisitos legales.
103,penal,La violencia intrafamiliar constituye delito según la ley.
104,constitucional,La acción de tutela protege derechos fundamentales.
105,laboral,El Ministerio de Trabajo regula las condiciones laborales.
106,familia,La violencia intrafamiliar puede dar lugar a medidas de protección.
107,penal,La violencia intrafamiliar constituye delito según la ley.
108,laboral,El Ministerio de Trabajo regula las condiciones laborales.
109,laboral,El contrato laboral debe incluir salario y prestaciones.
110,constitucional,La Constitución garantiza el derecho a la igualdad.
111,laboral,El contrato laboral debe incluir salario y prestaciones.
112,laboral,El trabajador tiene derecho a vacaciones remuneradas.
113,familia,El matrimonio produce efectos jurídicos reconocidos por la ley.
114,constitucional,La acción de tutela protege derechos fundamentales.
115,constitucional,El derecho a la salud es fundamental según jurisprudencia.
116,laboral,El trabajador tiene derecho a vacaciones remuneradas.
117,penal,El delito de hurto agravado se sanciona con prisión.
118,civil,El Código Civil regula las obligaciones y contratos.
119,familia,La adopción requiere sentencia judicial.
120,familia,El matrimonio produce efectos jurídicos reconocidos por la ley.
