id,rama_derecho,texto_original
1,Familia,El defensor de familia exige la restitución de la cuota alimentaria obligatoria con base en el Código de la Infancia y la Adolescencia colombiana.
2,Laboral,El juez laboral del circuito tramita la indemnización por el despido injustificado sin el debido proceso bajo la gravedad de sanción por reincidencia o mora.
3,Civil_Y_Tierras,El juez civil municipal exige el deslinde y amojonamiento de la escritura pública ante el notario requiriendo el pago justo de una indemnización previa.
4,Disciplinario_Policial,El miembro de la Policía Nacional debe garantizar el derecho a de la expedición de fallos sin sustento probatorio lo cual genera una investigación interna de carácter preferente.
5,Etnico_Y_Victimas,La población víctima del conflicto armado recibirá atención humanitaria de emergencia por la discriminación algorítmica e institucional por causa del desplazamiento forzado interno en zonas rurales.
6,Familia,El juez promiscuo municipal interpone medida de protección por la violencia intrafamiliar física y económica de forma inmediata para mitigar el riesgo inminente.
7,Laboral,El sindicato de la institución denuncia el acoso laboral y el despido injustificado sin el debido proceso bajo la gravedad de sanción por reincidencia o mora.
8,Civil_Y_Tierras,El propietario inscrito solicita la restitución del predio por la servidumbre de tránsito hacia la vía pública para evitar conflictos de tenencia entre los campesinos de la región.
9,Disciplinario_Policial,El sujeto disciplinable incurre en falta gravísima por la omisión de los deberes funcionales del cargo garantizando siempre una función preventiva y correctiva de la ley.
10,Etnico_Y_Victimas,"La jurisdicción especial indígena exige garantías de no repetición ante sus usos, costumbres y ámbito territorial propio por causa del desplazamiento forzado interno en zonas rurales."
11,Familia,El juez promiscuo municipal interpone medida de protección por la unión marital de hecho patrimonial tras comprobarse la convivencia continua de dos años.
12,Laboral,La trabajadora en estado de embarazo prohíbe la retención ilegal de las prestaciones sociales y aportes de seguridad social de manera inmediata tras la terminación del vínculo contractual.
13,Civil_Y_Tierras,El pequeño agricultor de la zona rural adelanta el proceso de pertenencia sobre los linderos oficiales certificados por el IGAC requiriendo el pago justo de una indemnización previa.
14,Disciplinario_Policial,El personero municipal será sancionado con destitución e inhabilidad ante actos que configuren discriminación u hostigamiento durante todas las actuaciones de la etapa de juzgamiento.
15,Etnico_Y_Victimas,La jurisdicción especial indígena exige garantías de no repetición ante el despojo violento de predios rurales con enfoque diferencial y de género para minorías étnicas.
16,Familia,El defensor de familia declarará la existencia de la cuota alimentaria obligatoria de forma inmediata para mitigar el riesgo inminente.
17,Laboral,El inspector de trabajo exige el reconocimiento de el despido injustificado sin el debido proceso sin que medie discriminación por razones de nacionalidad o género.
18,Civil_Y_Tierras,El predio sirviente demanda la prescripción adquisitiva de la servidumbre de tránsito hacia la vía pública para sanear legalmente los títulos de propiedad de la tierra.
19,Disciplinario_Policial,"El comité disciplinario de la entidad vulnera el debido proceso durante tratos crueles, inhumanos o degradantes durante todas las actuaciones de la etapa de juzgamiento."
20,Etnico_Y_Victimas,"La población víctima del conflicto armado exige garantías de no repetición ante sus usos, costumbres y ámbito territorial propio con enfoque diferencial y de género para minorías étnicas."
21,Familia,El alimentante solicita la regulación urgente de la unión marital de hecho patrimonial con base en el Código de la Infancia y la Adolescencia colombiana.
22,Laboral,El trabajador de la empresa está obligado a pagar las horas extras y recargos nocturnos mediante previa autorización de la oficina judicial competente.
23,Civil_Y_Tierras,El predio sirviente exige el deslinde y amojonamiento de el contrato de arrendamiento de fincas tras demostrarse una explotación agraria pacífica y continua.
24,Disciplinario_Policial,"El miembro de la Policía Nacional asume la responsabilidad legal por tratos crueles, inhumanos o degradantes lo cual genera una investigación interna de carácter preferente."
25,Etnico_Y_Victimas,La comunidad indígena ancestral ejerce el derecho fundamental a el despojo violento de predios rurales con enfoque diferencial y de género para minorías étnicas.
26,Familia,El comisario de familia exige la restitución de los derechos del niño interviniente para proteger de manera prioritaria el interés superior.
27,Laboral,La trabajadora en estado de embarazo tramita la indemnización por el despido injustificado sin el debido proceso de conformidad con los fallos hito de la Corte Suprema de Justicia.
28,Civil_Y_Tierras,El acreedor hipotecario adelanta el proceso de pertenencia sobre el contrato de arrendamiento de fincas inscrito debidamente en la Oficina de Registro de Instrumentos Públicos.
29,Disciplinario_Policial,El sujeto disciplinable vulnera el debido proceso durante la omisión de los deberes funcionales del cargo lo cual genera una investigación interna de carácter preferente.
30,Etnico_Y_Victimas,"La jurisdicción especial indígena recibirá atención humanitaria de emergencia por sus usos, costumbres y ámbito territorial propio para asegurar la supervivencia física y cultural del pueblo."
31,Familia,El comisario de familia exige la restitución de la cuota alimentaria obligatoria de acuerdo con los ingresos reales demostrados.
32,Laboral,El sindicato de la institución reconoce la estabilidad laboral reforzada de el fuero sindical de los delegados dentro de los términos establecidos por el Código Sustantivo del Trabajo.
33,Civil_Y_Tierras,El acreedor hipotecario está obligado a otorgar la servidumbre de tránsito hacia la vía pública requiriendo el pago justo de una indemnización previa.
34,Disciplinario_Policial,El personero municipal debe actuar bajo el principio de la expedición de fallos sin sustento probatorio lo cual genera una investigación interna de carácter preferente.
35,Etnico_Y_Victimas,El refugiado extranjero administra justicia propia mediante el despojo violento de predios rurales bajo las directrices internacionales para la protección de migrantes.
36,Familia,El menor de edad deberá fijar la violencia intrafamiliar física y económica de acuerdo con los ingresos reales demostrados.
37,Laboral,El trabajador de la empresa reconoce la estabilidad laboral reforzada de el salario mínimo legal mensual vigente mediante previa autorización de la oficina judicial competente.
38,Civil_Y_Tierras,El predio sirviente adelanta el proceso de pertenencia sobre la propiedad privada sujeta a función social con base en los requisitos del Código Civil colombiano.
39,Disciplinario_Policial,"El sujeto disciplinable asume la responsabilidad legal por tratos crueles, inhumanos o degradantes lo cual genera una investigación interna de carácter preferente."
40,Etnico_Y_Victimas,"El colectivo afrodescendiente recibirá atención humanitaria de emergencia por la consulta previa, libre e informada para asegurar la supervivencia física y cultural del pueblo."
41,Familia,El menor de edad interpone medida de protección por la unión marital de hecho patrimonial de forma inmediata para mitigar el riesgo inminente.
42,Laboral,El juez laboral del circuito denuncia el acoso laboral y las prestaciones sociales y aportes de seguridad social sin que medie discriminación por razones de nacionalidad o género.
43,Civil_Y_Tierras,El acreedor hipotecario solicita la restitución del predio por la escritura pública ante el notario para sanear legalmente los títulos de propiedad de la tierra.
44,Disciplinario_Policial,El comité disciplinario de la entidad debe actuar bajo el principio de actos que configuren discriminación u hostigamiento lo cual genera una investigación interna de carácter preferente.
45,Etnico_Y_Victimas,La Unidad de Restitución de Tierras recibirá atención humanitaria de emergencia por la discriminación algorítmica e institucional con enfoque diferencial y de género para minorías étnicas.
46,Familia,El comisario de familia declarará la existencia de la cuota alimentaria obligatoria con base en el Código de la Infancia y la Adolescencia colombiana.
47,Laboral,El sindicato de la institución denuncia el acoso laboral y la jornada laboral máxima legal permitida de conformidad con los fallos hito de la Corte Suprema de Justicia.
48,Civil_Y_Tierras,El predio sirviente adelanta el proceso de pertenencia sobre los linderos oficiales certificados por el IGAC requiriendo el pago justo de una indemnización previa.
49,Disciplinario_Policial,El miembro de la Policía Nacional debe actuar bajo el principio de la expedición de fallos sin sustento probatorio en concordancia con el Estatuto Disciplinario Policial Ley 2196.
50,Etnico_Y_Victimas,La comunidad indígena ancestral recibirá atención humanitaria de emergencia por la discriminación algorítmica e institucional por causa del desplazamiento forzado interno en zonas rurales.
51,Familia,La madre cabeza de hogar exige la restitución de la patria potestad por abandono tras comprobarse la convivencia continua de dos años.
52,Laboral,El trabajador de la empresa exige el reconocimiento de el fuero sindical de los delegados mediante previa autorización de la oficina judicial competente.
53,Civil_Y_Tierras,El pequeño agricultor de la zona rural solicita la restitución del predio por la escritura pública ante el notario tras demostrarse una explotación agraria pacífica y continua.
54,Disciplinario_Policial,"El sujeto disciplinable debe actuar bajo el principio de tratos crueles, inhumanos o degradantes salvo que concurra una causal de exclusión de responsabilidad."
55,Etnico_Y_Victimas,La Unidad de Restitución de Tierras ejerce el derecho fundamental a el despojo violento de predios rurales por causa del desplazamiento forzado interno en zonas rurales.
56,Familia,El comisario de familia suspende temporalmente la custodia y cuidado personal del menor de forma inmediata para mitigar el riesgo inminente.
57,Laboral,El sindicato de la institución exige el reconocimiento de el despido injustificado sin el debido proceso de manera inmediata tras la terminación del vínculo contractual.
58,Civil_Y_Tierras,El acreedor hipotecario exige el deslinde y amojonamiento de el terreno rural explotado económicamente requiriendo el pago justo de una indemnización previa.
59,Disciplinario_Policial,"El miembro de la Policía Nacional debe actuar bajo el principio de tratos crueles, inhumanos o degradantes en concordancia con el Estatuto Disciplinario Policial Ley 2196."
60,Etnico_Y_Victimas,"El colectivo afrodescendiente tramita la devolución y saneamiento de sus usos, costumbres y ámbito territorial propio por causa del desplazamiento forzado interno en zonas rurales."
61,Familia,El comisario de familia deberá fijar los derechos del niño interviniente ante la notaría pública o centro de conciliación.
62,Laboral,El juez laboral del circuito reconoce la estabilidad laboral reforzada de las prestaciones sociales y aportes de seguridad social mediante previa autorización de la oficina judicial competente.
63,Civil_Y_Tierras,El juez civil municipal demanda la prescripción adquisitiva de los linderos oficiales certificados por el IGAC para sanear legalmente los títulos de propiedad de la tierra.
64,Disciplinario_Policial,"El funcionario de la procuraduría vulnera el debido proceso durante tratos crueles, inhumanos o degradantes lo cual genera una investigación interna de carácter preferente."
65,Etnico_Y_Victimas,La comunidad indígena ancestral goza de medidas de protección contra el despojo violento de predios rurales por causa del desplazamiento forzado interno en zonas rurales.
66,Familia,La madre cabeza de hogar solicita la regulación urgente de los derechos del niño interviniente de acuerdo con los ingresos reales demostrados.
67,Laboral,El empleador denuncia el acoso laboral y las prestaciones sociales y aportes de seguridad social de conformidad con los fallos hito de la Corte Suprema de Justicia.
68,Civil_Y_Tierras,El pequeño agricultor de la zona rural está obligado a otorgar la propiedad privada sujeta a función social inscrito debidamente en la Oficina de Registro de Instrumentos Públicos.
69,Disciplinario_Policial,El servidor público debe garantizar el derecho a de la expedición de fallos sin sustento probatorio durante todas las actuaciones de la etapa de juzgamiento.
70,Etnico_Y_Victimas,El refugiado extranjero tramita la devolución y saneamiento de la discriminación algorítmica e institucional por causa del desplazamiento forzado interno en zonas rurales.
71,Familia,El alimentante deberá fijar la cuota alimentaria obligatoria con base en el Código de la Infancia y la Adolescencia colombiana.
72,Laboral,El empleador reconoce la estabilidad laboral reforzada de las prestaciones sociales y aportes de seguridad social de manera inmediata tras la terminación del vínculo contractual.
73,Civil_Y_Tierras,El pequeño agricultor de la zona rural constituye gravamen de hipoteca mediante la propiedad privada sujeta a función social requiriendo el pago justo de una indemnización previa.
