texto,tema
El acusado fue condenado por homicidio agravado,penal
Investigación por tráfico de estupefacientes,penal
Captura por porte ilegal de armas,penal
Proceso por violencia intrafamiliar,penal
Demanda por incumplimiento de contrato,civil
Proceso de responsabilidad civil extracontractual,civil
Litigio sobre propiedad privada,civil
Disputa por contrato de arrendamiento,civil
Despido injustificado del trabajador,laboral
Reclamación por liquidación laboral,laboral
Proceso por acoso laboral,laboral
Solicitud de pago de prestaciones sociales,laboral
Custodia y alimentos del menor,familia
Proceso de divorcio contencioso,familia
Solicitud de patria potestad,familia
Demanda por violencia familiar,familia
Se registra un el acusado fue condenado por homicidio agravado,penal
Existe un nuevo el acusado fue condenado por homicidio agravado,penal
Reporte de el acusado fue condenado por homicidio agravado,penal
Inicia el el acusado fue condenado por homicidio agravado,penal
Fallo sobre el el acusado fue condenado por homicidio agravado,penal
Sentencia de el acusado fue condenado por homicidio agravado,penal
Se analiza el el acusado fue condenado por homicidio agravado,penal
Radicado de el acusado fue condenado por homicidio agravado,penal
Expediente de el acusado fue condenado por homicidio agravado,penal
Documento sobre el acusado fue condenado por homicidio agravado,penal
Notificación de el acusado fue condenado por homicidio agravado,penal
Audiencia por el acusado fue condenado por homicidio agravado,penal
Se registra un investigación por tráfico de estupefacientes,penal
Existe un nuevo investigación por tráfico de estupefacientes,penal
Reporte de investigación por tráfico de estupefacientes,penal
Inicia el investigación por tráfico de estupefacientes,penal
Fallo sobre el investigación por tráfico de estupefacientes,penal
Sentencia de investigación por tráfico de estupefacientes,penal
Se analiza el investigación por tráfico de estupefacientes,penal
Radicado de investigación por tráfico de estupefacientes,penal
Expediente de investigación por tráfico de estupefacientes,penal
Documento sobre investigación por tráfico de estupefacientes,penal
Notificación de investigación por tráfico de estupefacientes,penal
Audiencia por investigación por tráfico de estupefacientes,penal
Se registra un captura por porte ilegal de armas,penal
Existe un nuevo captura por porte ilegal de armas,penal
Reporte de captura por porte ilegal de armas,penal
Inicia el captura por porte ilegal de armas,penal
Fallo sobre el captura por porte ilegal de armas,penal
Sentencia de captura por porte ilegal de armas,penal
Se analiza el captura por porte ilegal de armas,penal
Radicado de captura por porte ilegal de armas,penal
Expediente de captura por porte ilegal de armas,penal
Documento sobre captura por porte ilegal de armas,penal
Notificación de captura por porte ilegal de armas,penal
Audiencia por captura por porte ilegal de armas,penal
Se registra un proceso por violencia intrafamiliar,penal
