id,rama_derecho,texto_original,texto_limpieza_base,texto_limpio_lematizado
1,Familia,El comisario de familia solicita la regulación urgente de la unión marital de hecho patrimonial de acuerdo con los ingresos reales demostrados.,el comisario de familia solicita la regulacion urgente de la union marital de hecho patrimonial de acuerdo con los ingresos reales demostrados,comisario familia solicitar regulacion urgente union marital patrimonial ingreso real demostrado
2,Laboral,El empleador está obligado a pagar las prestaciones sociales y aportes de seguridad social bajo la gravedad de sanción por reincidencia o mora.,el empleador esta obligado a pagar las prestaciones sociales y aportes de seguridad social bajo la gravedad de sancion por reincidencia o mora,empleador obligado pagar prestación social aporte seguridad social gravedad sancion reincidencia mora
3,Civil_Y_Tierras,El propietario inscrito adelanta el proceso de pertenencia sobre la escritura pública ante el notario con base en los requisitos del Código Civil colombiano.,el propietario inscrito adelanta el proceso de pertenencia sobre la escritura publica ante el notario con base en los requisitos del codigo civil colombiano,propietario inscrito adelantar proceso pertenencia escritura publicar notario base requisito codigo civil colombiano
4,Disciplinario_Policial,El sujeto disciplinable debe actuar bajo el principio de el incumplimiento estricto de la Constitución Política lo cual genera una investigación interna de carácter preferente.,el sujeto disciplinable debe actuar bajo el principio de el incumplimiento estricto de la constitucion politica lo cual genera una investigacion interna de caracter preferente,sujeto disciplinable actuar principio incumplimiento estricto constitucion politico generar investigacion interno caracter preferente
5,Etnico_Y_Victimas,"La población víctima del conflicto armado recibirá atención humanitaria de emergencia por sus usos, costumbres y ámbito territorial propio coordinando acciones con el marco de la Constitución colombiana.",la poblacion victima del conflicto armado recibira atencion humanitaria de emergencia por sus usos costumbres y ambito territorial propio coordinando acciones con el marco de la constitucion colombiana,poblacion victimo conflicto armado recibira atencion humanitaria emergencia uso costumbr ambito territorial coordinar acción marco constitucion colombiano
6,Familia,El defensor de familia deberá fijar la unión marital de hecho patrimonial de forma inmediata para mitigar el riesgo inminente.,el defensor de familia debera fijar la union marital de hecho patrimonial de forma inmediata para mitigar el riesgo inminente,defensor familia deberar fijar union marital patrimonial forma inmediato mitigar riesgo inminente
7,Laboral,El trabajador de la empresa está obligado a pagar el despido injustificado sin el debido proceso mediante previa autorización de la oficina judicial competente.,el trabajador de la empresa esta obligado a pagar el despido injustificado sin el debido proceso mediante previa autorizacion de la oficina judicial competente,trabajador empresa obligado pagar despido injustificado proceso previo autorizacion oficina judicial competente
8,Civil_Y_Tierras,El acreedor hipotecario solicita la restitución del predio por la servidumbre de tránsito hacia la vía pública para evitar conflictos de tenencia entre los campesinos de la región.,el acreedor hipotecario solicita la restitucion del predio por la servidumbre de transito hacia la via publica para evitar conflictos de tenencia entre los campesinos de la region,acreedor hipotecario solicitar restitucion predio servidumbre transito via publicar evitar conflicto tenencia campesino region
9,Disciplinario_Policial,"El funcionario de la procuraduría asume la responsabilidad legal por tratos crueles, inhumanos o degradantes garantizando siempre una función preventiva y correctiva de la ley.",el funcionario de la procuraduria asume la responsabilidad legal por tratos crueles inhumanos o degradantes garantizando siempre una funcion preventiva y correctiva de la ley,funcionario procuraduria asumir responsabilidad legal trato cruel inhumano degradante garantizar funcion preventivo correctivo ley
10,Etnico_Y_Victimas,"El colectivo afrodescendiente recibirá atención humanitaria de emergencia por la consulta previa, libre e informada bajo las directrices internacionales para la protección de migrantes.",el colectivo afrodescendiente recibira atencion humanitaria de emergencia por la consulta previa libre e informada bajo las directrices internacionales para la proteccion de migrantes,colectivo afrodescendiente recibira atencion humanitaria emergencia consulta previo libre informado directriz internacional proteccion migrant
11,Familia,El comisario de familia deberá fijar la violencia intrafamiliar física y económica tras comprobarse la convivencia continua de dos años.,el comisario de familia debera fijar la violencia intrafamiliar fisica y economica tras comprobarse la convivencia continua de dos años,comisario familia deberar fijar violencia intrafamiliar fisico economico comprobar él convivencia continuo año
12,Laboral,El trabajador de la empresa denuncia el acoso laboral y el salario mínimo legal mensual vigente de manera inmediata tras la terminación del vínculo contractual.,el trabajador de la empresa denuncia el acoso laboral y el salario minimo legal mensual vigente de manera inmediata tras la terminacion del vinculo contractual,trabajador empresa denunciar acoso laboral salario minimo legal mensual vigente inmediato terminacion vinculo contractual
13,Civil_Y_Tierras,El pequeño agricultor de la zona rural demanda la prescripción adquisitiva de los linderos oficiales certificados por el IGAC tras demostrarse una explotación agraria pacífica y continua.,el pequeño agricultor de la zona rural demanda la prescripcion adquisitiva de los linderos oficiales certificados por el igac tras demostrarse una explotacion agraria pacifica y continua,pequeño agricultor zona rural demanda prescripcion adquisitivo lindero oficial certificado igac demostrar él explotacion agrario pacifico continuo
14,Disciplinario_Policial,"El sujeto disciplinable será sancionado con destitución e inhabilidad ante tratos crueles, inhumanos o degradantes garantizando siempre una función preventiva y correctiva de la ley.",el sujeto disciplinable sera sancionado con destitucion e inhabilidad ante tratos crueles inhumanos o degradantes garantizando siempre una funcion preventiva y correctiva de la ley,sujeto disciplinable sancionado destitucion inhabilidad trato cruel inhumano degradante garantizar funcion preventivo correctivo ley
15,Etnico_Y_Victimas,"La jurisdicción especial indígena ejerce el derecho fundamental a la verdad, la justicia y la reparación integral bajo las directrices internacionales para la protección de migrantes.",la jurisdiccion especial indigena ejerce el derecho fundamental a la verdad la justicia y la reparacion integral bajo las directrices internacionales para la proteccion de migrantes,jurisdiccion especial indigena ejercer derecho fundamental justicia reparacion integral directriz internacional proteccion migrant
16,Familia,El menor de edad deberá fijar la cuota alimentaria obligatoria tras comprobarse la convivencia continua de dos años.,el menor de edad debera fijar la cuota alimentaria obligatoria tras comprobarse la convivencia continua de dos años,menor edad deberar fijar cuota alimentario obligatorio comprobar él convivencia continuo año
17,Laboral,El juez laboral del circuito reconoce la estabilidad laboral reforzada de la jornada laboral máxima legal permitida bajo la gravedad de sanción por reincidencia o mora.,el juez laboral del circuito reconoce la estabilidad laboral reforzada de la jornada laboral maxima legal permitida bajo la gravedad de sancion por reincidencia o mora,juez laboral circuito reconocer estabilidad laboral reforzado jornada laboral maximar legal permitido gravedad sancion reincidencia mora
18,Civil_Y_Tierras,El pequeño agricultor de la zona rural adelanta el proceso de pertenencia sobre el terreno rural explotado económicamente inscrito debidamente en la Oficina de Registro de Instrumentos Públicos.,el pequeño agricultor de la zona rural adelanta el proceso de pertenencia sobre el terreno rural explotado economicamente inscrito debidamente en la oficina de registro de instrumentos publicos,pequeño agricultor zona rural adelantar proceso pertenencia terreno rural explotado economicamente inscrito debidamente oficina registro instrumento publico
19,Disciplinario_Policial,El comité disciplinario de la entidad asume la responsabilidad legal por la expedición de fallos sin sustento probatorio según los parámetros vigentes de la Ley 1952 de 2019.,el comite disciplinario de la entidad asume la responsabilidad legal por la expedicion de fallos sin sustento probatorio segun los parametros vigentes de la ley de,comite disciplinario entidad asumir responsabilidad legal expedicion fallo sustento probatorio parametro vigente ley
20,Etnico_Y_Victimas,"La población víctima del conflicto armado recibirá atención humanitaria de emergencia por sus usos, costumbres y ámbito territorial propio para asegurar la supervivencia física y cultural del pueblo.",la poblacion victima del conflicto armado recibira atencion humanitaria de emergencia por sus usos costumbres y ambito territorial propio para asegurar la supervivencia fisica y cultural del pueblo,poblacion victimo conflicto armado recibira atencion humanitaria emergencia uso costumbr ambito territorial asegurar supervivencia fisico cultural pueblo
21,Familia,El juez promiscuo municipal exige la restitución de la unión marital de hecho patrimonial de acuerdo con los ingresos reales demostrados.,el juez promiscuo municipal exige la restitucion de la union marital de hecho patrimonial de acuerdo con los ingresos reales demostrados,juez promiscuo municipal exigir restitucion union marital patrimonial ingreso real demostrado
22,Laboral,El empleador denuncia el acoso laboral y el despido injustificado sin el debido proceso bajo la gravedad de sanción por reincidencia o mora.,el empleador denuncia el acoso laboral y el despido injustificado sin el debido proceso bajo la gravedad de sancion por reincidencia o mora,empleador denunciar acoso laboral despido injustificado proceso gravedad sancion reincidencia mora
23,Civil_Y_Tierras,El acreedor hipotecario está obligado a otorgar la propiedad privada sujeta a función social con base en los requisitos del Código Civil colombiano.,el acreedor hipotecario esta obligado a otorgar la propiedad privada sujeta a funcion social con base en los requisitos del codigo civil colombiano,acreedor hipotecario obligado otorgar propiedad privado sujeto funcion social base requisito codigo civil colombiano
24,Disciplinario_Policial,El servidor público debe garantizar el derecho a de actos que configuren discriminación u hostigamiento según los parámetros vigentes de la Ley 1952 de 2019.,el servidor publico debe garantizar el derecho a de actos que configuren discriminacion u hostigamiento segun los parametros vigentes de la ley de,servidor publico garantizar derecho acto configurir discriminacion hostigamiento parametro vigente ley
25,Etnico_Y_Victimas,La población víctima del conflicto armado recibirá atención humanitaria de emergencia por los territorios colectivos inalienables coordinando acciones con el marco de la Constitución colombiana.,la poblacion victima del conflicto armado recibira atencion humanitaria de emergencia por los territorios colectivos inalienables coordinando acciones con el marco de la constitucion colombiana,poblacion victimo conflicto armado recibira atencion humanitaria emergencia territorio colectivo inalienabl coordinar acción marco constitucion colombiano
26,Familia,El juez promiscuo municipal exige la restitución de los derechos del niño interviniente tras comprobarse la convivencia continua de dos años.,el juez promiscuo municipal exige la restitucion de los derechos del niño interviniente tras comprobarse la convivencia continua de dos años,juez promiscuo municipal exigir restitucion derecho niño interviniente comprobar él convivencia continuo año
27,Laboral,El sindicato de la institución tramita la indemnización por las prestaciones sociales y aportes de seguridad social de manera inmediata tras la terminación del vínculo contractual.,el sindicato de la institucion tramita la indemnizacion por las prestaciones sociales y aportes de seguridad social de manera inmediata tras la terminacion del vinculo contractual,sindicato institucion tramito indemnizacion prestación social aporte seguridad social inmediato terminacion vinculo contractual
28,Civil_Y_Tierras,El predio sirviente solicita la restitución del predio por el terreno rural explotado económicamente para evitar conflictos de tenencia entre los campesinos de la región.,el predio sirviente solicita la restitucion del predio por el terreno rural explotado economicamente para evitar conflictos de tenencia entre los campesinos de la region,predio sirviente solicitar restitucion predio terreno rural explotado economicamente evitar conflicto tenencia campesino region
29,Disciplinario_Policial,El sujeto disciplinable incurre en falta gravísima por actos que configuren discriminación u hostigamiento lo cual genera una investigación interna de carácter preferente.,el sujeto disciplinable incurre en falta gravisima por actos que configuren discriminacion u hostigamiento lo cual genera una investigacion interna de caracter preferente,sujeto disciplinable incurrir falta gravisimo acto configurir discriminacion hostigamientir generar investigacion interno caracter preferente
30,Etnico_Y_Victimas,"La población víctima del conflicto armado ejerce el derecho fundamental a la verdad, la justicia y la reparación integral por causa del desplazamiento forzado interno en zonas rurales.",la poblacion victima del conflicto armado ejerce el derecho fundamental a la verdad la justicia y la reparacion integral por causa del desplazamiento forzado interno en zonas rurales,poblacion victimo conflicto armado ejercer derecho fundamental justicia reparacion integral causa desplazamiento forzado interno zona rural
31,Familia,El menor de edad suspende temporalmente la violencia intrafamiliar física y económica con base en el Código de la Infancia y la Adolescencia colombiana.,el menor de edad suspende temporalmente la violencia intrafamiliar fisica y economica con base en el codigo de la infancia y la adolescencia colombiana,menor edad suspender temporalmente violencia intrafamiliar fisico economicar base codigo infancia adolescencia colombiano
32,Laboral,El inspector de trabajo está obligado a pagar las prestaciones sociales y aportes de seguridad social dentro de los términos establecidos por el Código Sustantivo del Trabajo.,el inspector de trabajo esta obligado a pagar las prestaciones sociales y aportes de seguridad social dentro de los terminos establecidos por el codigo sustantivo del trabajo,inspector trabajo obligado pagar prestación social aporte seguridad social termino establecido codigo sustantivo trabajo
33,Civil_Y_Tierras,El poseedor del bien inmueble exige el deslinde y amojonamiento de los linderos oficiales certificados por el IGAC para evitar conflictos de tenencia entre los campesinos de la región.,el poseedor del bien inmueble exige el deslinde y amojonamiento de los linderos oficiales certificados por el igac para evitar conflictos de tenencia entre los campesinos de la region,poseedor inmueble exigir deslinde amojonamiento lindero oficial certificado igac evitar conflicto tenencia campesino region
34,Disciplinario_Policial,El funcionario de la procuraduría vulnera el debido proceso durante el incumplimiento estricto de la Constitución Política lo cual genera una investigación interna de carácter preferente.,el funcionario de la procuraduria vulnera el debido proceso durante el incumplimiento estricto de la constitucion politica lo cual genera una investigacion interna de caracter preferente,funcionario procuraduria vulnerar proceso incumplimiento estricto constitucion politico generar investigacion interno caracter preferente
35,Etnico_Y_Victimas,"El colectivo afrodescendiente recibirá atención humanitaria de emergencia por la verdad, la justicia y la reparación integral bajo las directrices internacionales para la protección de migrantes.",el colectivo afrodescendiente recibira atencion humanitaria de emergencia por la verdad la justicia y la reparacion integral bajo las directrices internacionales para la proteccion de migrantes,colectivo afrodescendiente recibira atencion humanitaria emergencia justicia reparacion integral directriz internacional proteccion migrant
36,Familia,El alimentante interpone medida de protección por los derechos del niño interviniente con base en el Código de la Infancia y la Adolescencia colombiana.,el alimentante interpone medida de proteccion por los derechos del niño interviniente con base en el codigo de la infancia y la adolescencia colombiana,alimentante interponer medida proteccion derecho niño interviniente base codigo infancia adolescencia colombiano
37,Laboral,El juez laboral del circuito prohíbe la retención ilegal de el salario mínimo legal mensual vigente bajo la gravedad de sanción por reincidencia o mora.,el juez laboral del circuito prohibe la retencion ilegal de el salario minimo legal mensual vigente bajo la gravedad de sancion por reincidencia o mora,juez laboral circuito prohibir retencion ilegal salario minimo legal mensual vigente gravedad sancion reincidencia mora
38,Civil_Y_Tierras,El acreedor hipotecario adelanta el proceso de pertenencia sobre la escritura pública ante el notario para sanear legalmente los títulos de propiedad de la tierra.,el acreedor hipotecario adelanta el proceso de pertenencia sobre la escritura publica ante el notario para sanear legalmente los titulos de propiedad de la tierra,acreedor hipotecario adelantar proceso pertenencia escritura publicar notario sanear legalmente titulo propiedad tierra
